trial,condition,TargetA,TargetC,Response,RT,Acc,thisRepN,block
3,9,stimuli/T07_aga.wav,#007CED,3,,1,0,p
3,4,stimuli/T04_aetha.wav,#A77FC9,4,,0,1,p
3,13,stimuli/T07_ana.wav,#00366B,3,,1,2,p
3,6,stimuli/T04_ava.wav,#FFC5FF,3,,1,3,p
3,11,stimuli/T07_aga.wav,#00366B,3,,1,4,p
3,0,stimuli/T04_ava.wav,#A77FC9,3,,0,5,p
3,1,stimuli/T07_ana.wav,#0079B7,4,,1,6,p
3,2,stimuli/T04_ama.wav,#A77FC9,3,,1,7,p
3,11,stimuli/T07_aga.wav,#00366B,3,,1,8,p
5,1,stimuli/T10_aza.wav,#009E85,3,,0,1,p
5,16,stimuli/T07_apa.wav,#004DC9,3,,1,2,p
5,7,stimuli/T10_aza.wav,#00D882,3,,1,3,p
5,3,stimuli/T10_asa.wav,#009E85,3,,1,4,p
5,5,stimuli/T10_azha.wav,#009E85,4,,0,5,p
5,1,stimuli/T10_aza.wav,#009E85,4,,1,6,p
5,12,stimuli/T07_ata.wav,#004DC9,3,,1,7,p
5,14,stimuli/T07_apa.wav,#FF98E0,3,,1,8,p
4,1,stimuli/T12_athetaa.wav,#3D62C6,4,,1,0,p
4,4,stimuli/T04_athetaa.wav,#008484,3,,1,1,p
4,15,stimuli/T12_apa.wav,#925A82,3,,1,2,p
4,6,stimuli/T04_asha.wav,#0091DC,4,,0,3,p
4,10,stimuli/T04_ama.wav,#007D68,3,,1,4,p
4,3,stimuli/T12_ada.wav,#3D62C6,3,,1,5,p
4,12,stimuli/T04_asha.wav,#007D68,3,,1,6,p
4,0,stimuli/T04_asha.wav,#008484,3,,0,7,p
4,15,stimuli/T12_apa.wav,#925A82,3,,1,8,p
2,12,stimuli/T12_afa.wav,#0097EF,3,,1,0,p
2,11,stimuli/T07_aba.wav,#944D31,3,,1,1,p
2,1,stimuli/T07_ada.wav,#DA5C51,3,,0,2,p
2,6,stimuli/T12_afa.wav,#002E70,3,,1,3,p
2,2,stimuli/T12_asha.wav,#0071BA,3,,1,4,p
2,8,stimuli/T12_asha.wav,#002E70,3,,1,5,p
2,0,stimuli/T12_afa.wav,#0071BA,4,,1,6,p
2,5,stimuli/T07_azha.wav,#DA5C51,3,,1,7,p
2,14,stimuli/T12_athetaa.wav,#002E70,3,,1,8,p
1,14,stimuli/T02_aba.wav,#002C21,3,,1,0,p
1,0,stimuli/T02_ama.wav,#008470,4,,1,1,p
1,17,stimuli/T03_ada.wav,#874613,3,,1,2,p
1,1,stimuli/T03_ava.wav,#C3704D,3,,0,3,p
1,4,stimuli/T02_aba.wav,#008470,3,,1,4,p
1,6,stimuli/T02_ama.wav,#002C21,3,,1,5,p
1,2,stimuli/T02_athetaa.wav,#008470,3,,1,6,p
1,12,stimuli/T02_ama.wav,#00BBBF,3,,1,7,p
1,14,stimuli/T02_aba.wav,#002C21,3,,1,8,p
17,10,stimuli/T01_aba.wav,#005A86,3,0.6023301,1,0,t
17,1,stimuli/T02_asa.wav,#2474C7,4,1.0024375,1,1,t
17,13,stimuli/T02_asa.wav,#87B6FF,3,0.5502667,1,2,t
17,5,stimuli/T02_afa.wav,#2474C7,3,1.2172962,1,3,t
17,11,stimuli/T02_ana.wav,#87B6FF,3,0.7835924,1,4,t
17,7,stimuli/T02_asa.wav,#0079B6,3,0.9338757,1,5,t
17,2,stimuli/T01_aba.wav,#007FB0,3,0.9845928,1,6,t
17,0,stimuli/T01_apa.wav,#007FB0,4,1.2168488,1,7,t
17,17,stimuli/T02_afa.wav,#87B6FF,3,0.9157506,1,8,t
3,15,stimuli/T04_aetha.wav,#00A5BD,3,0.4837987,1,0,t
3,3,stimuli/T04_aba.wav,#0082C0,3,0.9021753,1,1,t
3,17,stimuli/T04_aetha.wav,#015877,3,0.9016211,1,2,t
3,1,stimuli/T04_ada.wav,#0082C0,4,0.967606,1,3,t
3,17,stimuli/T04_aetha.wav,#015877,3,0.8178105,1,4,t
3,13,stimuli/T04_ada.wav,#015877,3,0.6857265,1,5,t
3,4,stimuli/T03_apa.wav,#BA4D74,3,1.0144279,1,6,t
3,7,stimuli/T04_ada.wav,#00A5BD,3,0.9322557,1,7,t
3,1,stimuli/T04_ada.wav,#0082C0,4,0.8321482,1,8,t
7,16,stimuli/T12_asha.wav,#008B46,3,0.8987288,1,1,t
7,6,stimuli/T12_asa.wav,#388A82,4,1.0576883,0,2,t
7,12,stimuli/T12_asa.wav,#008B46,3,0.7673571,1,3,t
7,1,stimuli/T04_apa.wav,#876523,3,1.8303648,0,4,t
7,1,stimuli/T04_apa.wav,#876523,3,0.8830156,0,5,t
7,8,stimuli/T12_ana.wav,#388A82,3,1.2836515,1,6,t
7,3,stimuli/T04_aba.wav,#876523,3,1.4826124,1,7,t
7,5,stimuli/T04_aka.wav,#876523,3,0.8339594,1,8,t
15,8,stimuli/T08_asa.wav,#DB57D6,3,1.0672822,1,0,t
15,1,stimuli/T12_azha.wav,#D17655,3,1.1190715,0,1,t
15,4,stimuli/T08_aza.wav,#CD66A5,3,1.6823645,1,2,t
15,14,stimuli/T08_aza.wav,#DB57D6,3,0.8330255,1,3,t
15,3,stimuli/T12_aba.wav,#D17655,3,1.15047,1,4,t
15,0,stimuli/T08_aetha.wav,#CD66A5,4,1.6017575,1,5,t
15,12,stimuli/T08_aetha.wav,#8F5DA8,3,0.76757,1,6,t
15,7,stimuli/T12_azha.wav,#BF7791,3,0.8679728,1,7,t
15,10,stimuli/T08_asa.wav,#8F5DA8,3,0.9660051,1,8,t
11,1,stimuli/T01_azha.wav,#CA603C,4,1.3343104,1,1,t
11,16,stimuli/T10_ada.wav,#B37C20,3,0.8842153,1,2,t
11,8,stimuli/T10_ama.wav,#3E9F8C,3,0.8987344,1,3,t
11,11,stimuli/T01_aba.wav,#DB9080,3,1.2169222,1,4,t
11,0,stimuli/T10_ava.wav,#93923E,3,0.8588202,0,5,t
11,2,stimuli/T10_ama.wav,#93923E,3,1.2516983,1,6,t
11,5,stimuli/T01_ada.wav,#CA603C,3,1.1837809,1,7,t
11,13,stimuli/T01_azha.wav,#DB9080,3,1.1668104,1,8,t
5,3,stimuli/T03_ama.wav,#99497B,3,1.1508338,1,0,t
5,9,stimuli/T03_ama.wav,#FFA6AA,3,0.8181222,1,1,t
5,6,stimuli/T08_ana.wav,#009E00,3,0.8998045,1,2,t
5,11,stimuli/T03_ama.wav,#C263B4,3,1.5010605,1,3,t
5,4,stimuli/T08_ama.wav,#6B8E2F,3,0.8653419,1,4,t
5,8,stimuli/T08_azha.wav,#009E00,3,0.8505956,1,5,t
5,1,stimuli/T03_aga.wav,#99497B,3,0.8994845,0,6,t
5,12,stimuli/T08_ana.wav,#006610,3,0.7678006,1,7,t
5,1,stimuli/T03_aga.wav,#99497B,3,1.2325941,0,8,t
25,10,stimuli/T06_athetaa.wav,#BF369E,3,1.5656156,1,0,t
25,11,stimuli/T04_aetha.wav,#448C70,3,0.839071,1,1,t
25,2,stimuli/T06_athetaa.wav,#B05990,4,1.1498188,0,2,t
25,8,stimuli/T06_athetaa.wav,#5E165F,3,1.0370545,1,3,t
25,12,stimuli/T06_ada.wav,#BF369E,4,1.1186927,0,4,t
25,7,stimuli/T04_asa.wav,#767F00,3,0.8688238,1,5,t
25,0,stimuli/T06_ada.wav,#B05990,4,1.5497178,1,6,t
25,0,stimuli/T06_ada.wav,#B05990,4,0.9165707,1,7,t
25,4,stimuli/T06_aga.wav,#B05990,3,0.8837958,1,8,t
12,1,stimuli/T07_ama.wav,#A37221,4,1.5817607,1,0,t
12,2,stimuli/T08_afa.wav,#00918A,3,1.866197,1,1,t
12,1,stimuli/T07_ama.wav,#A37221,3,1.1324603,0,2,t
12,15,stimuli/T07_aba.wav,#A04A00,3,0.7674365,1,3,t
12,10,stimuli/T08_afa.wav,#007954,3,1.1538868,1,4,t
12,16,stimuli/T08_ata.wav,#007954,3,0.8348758,1,5,t
12,12,stimuli/T08_asha.wav,#007954,4,1.4818777,0,6,t
12,4,stimuli/T08_ata.wav,#00918A,3,0.7495308,1,7,t
12,6,stimuli/T08_asha.wav,#00BFB9,3,0.8168821,1,8,t
2,7,stimuli/T08_aba.wav,#0098C3,4,0.6823352,0,1,t
2,12,stimuli/T09_asa.wav,#B35678,4,1.4844461,0,2,t
2,1,stimuli/T08_aba.wav,#0090C5,3,1.0682072,0,3,t
2,1,stimuli/T08_aba.wav,#0090C5,3,1.3992268,0,4,t
2,9,stimuli/T08_ana.wav,#0098C3,4,1.1352879,0,5,t
2,10,stimuli/T09_aetha.wav,#B35678,3,0.9825241,1,6,t
2,9,stimuli/T08_ana.wav,#0098C3,3,1.1830317,1,7,t
2,5,stimuli/T08_aza.wav,#0090C5,4,1.083193,0,8,t
23,6,stimuli/T05_ava.wav,#6E8E6D,3,0.9034893,1,1,t
23,1,stimuli/T08_ata.wav,#468F4F,3,1.0000073,0,2,t
23,15,stimuli/T08_apa.wav,#63D07F,3,0.8999078,1,3,t
23,2,stimuli/T05_asa.wav,#779028,3,1.1984622,1,4,t
23,8,stimuli/T05_asa.wav,#6E8E6D,3,0.8487431,1,5,t
23,10,stimuli/T05_asa.wav,#325E00,3,0.8691401,1,6,t
23,1,stimuli/T08_ata.wav,#468F4F,3,0.9666894,0,7,t
23,13,stimuli/T08_ata.wav,#18583B,3,1.1191538,1,8,t
16,15,stimuli/T06_aka.wav,#936D00,3,0.9995707,1,1,t
16,11,stimuli/T06_aga.wav,#54391A,3,0.6328023,1,2,t
16,0,stimuli/T04_ama.wav,#0088BA,3,1.0843337,0,3,t
16,10,stimuli/T04_aza.wav,#006DC1,3,0.8323166,1,4,t
16,6,stimuli/T04_ama.wav,#00667A,3,0.854358,1,5,t
16,0,stimuli/T04_ama.wav,#0088BA,3,0.9826924,0,6,t
16,12,stimuli/T04_ama.wav,#006DC1,3,0.7332493,1,7,t
16,3,stimuli/T06_aga.wav,#8B5423,3,1.0119388,1,8,t
19,13,stimuli/T10_aga.wav,#004960,3,0.7333596,1,0,t
19,0,stimuli/T07_aba.wav,#00997F,4,1.2500057,1,1,t
19,11,stimuli/T10_ama.wav,#004960,3,0.6428268,1,2,t
19,17,stimuli/T10_ada.wav,#004960,3,0.8151858,1,3,t
19,9,stimuli/T10_ama.wav,#6CC2C7,3,0.5002225,1,4,t
19,1,stimuli/T10_aga.wav,#007AB6,3,0.8001766,0,5,t
19,2,stimuli/T07_azha.wav,#00997F,3,0.8344922,1,6,t
19,5,stimuli/T10_ada.wav,#007AB6,3,1.0814564,1,7,t
19,6,stimuli/T07_aba.wav,#00779D,3,1.5162914,1,8,t
9,14,stimuli/T07_athetaa.wav,#E2AFFF,3,0.3663803,1,0,t
9,0,stimuli/T07_asa.wav,#875EC0,4,1.1328389,1,1,t
9,13,stimuli/T04_ata.wav,#003E8F,3,0.4167719,1,2,t
9,5,stimuli/T04_apa.wav,#0069BB,3,1.4854615,1,3,t
9,10,stimuli/T07_azha.wav,#7B8DFC,3,0.8657447,1,4,t
9,0,stimuli/T07_asa.wav,#875EC0,4,1.2663075,1,5,t
9,6,stimuli/T07_asa.wav,#E2AFFF,3,0.5086092,1,6,t
9,16,stimuli/T07_athetaa.wav,#7B8DFC,4,1.4131721,0,7,t
9,3,stimuli/T04_aetha.wav,#0069BB,4,1.0187913,0,8,t
24,10,stimuli/T08_aba.wav,#FE9840,3,0.8873763,1,0,t
24,1,stimuli/T07_aetha.wav,#28863D,3,1.1669003,0,1,t
24,9,stimuli/T07_athetaa.wav,#00411C,3,1.1087636,1,2,t
24,10,stimuli/T08_aba.wav,#FE9840,3,1.3841402,1,3,t
24,2,stimuli/T08_aba.wav,#B06C1B,3,1.8697945,1,4,t
24,7,stimuli/T07_aetha.wav,#00411C,3,1.5493873,1,5,t
24,0,stimuli/T08_azha.wav,#B06C1B,3,1.5014649,0,6,t
24,13,stimuli/T07_aetha.wav,#005C1A,3,1.1330258,1,7,t
24,5,stimuli/T07_aza.wav,#28863D,3,1.0342554,1,8,t
14,3,stimuli/T07_athetaa.wav,#A03F7B,3,0.9161447,1,0,t
14,8,stimuli/T11_azha.wav,#291800,3,0.8337035,1,1,t
14,13,stimuli/T07_ada.wav,#712F3F,3,0.9345241,1,2,t
14,5,stimuli/T07_azha.wav,#A03F7B,3,1.0321332,1,3,t
14,1,stimuli/T07_ada.wav,#A03F7B,3,0.7337157,0,4,t
14,14,stimuli/T11_aza.wav,#291800,3,0.8016304,1,5,t
14,7,stimuli/T07_ada.wav,#C189B1,3,0.8182416,1,6,t
14,15,stimuli/T07_azha.wav,#C189B1,3,0.7663037,1,7,t
14,1,stimuli/T07_ada.wav,#A03F7B,3,0.9155598,0,8,t
13,11,stimuli/T10_asha.wav,#00657B,3,0.9143717,1,0,t
13,17,stimuli/T10_ava.wav,#00657B,3,0.822009,1,1,t
13,4,stimuli/T12_apa.wav,#74741E,3,0.9671388,1,2,t
13,13,stimuli/T10_aza.wav,#00657B,4,1.2497102,0,3,t
13,7,stimuli/T10_aza.wav,#004E53,3,0.8358991,1,4,t
13,0,stimuli/T12_ata.wav,#74741E,4,0.9507705,1,5,t
13,1,stimuli/T10_aza.wav,#009AA9,3,0.9167342,0,6,t
13,2,stimuli/T12_aga.wav,#74741E,3,0.9848925,1,7,t
13,11,stimuli/T10_asha.wav,#00657B,4,1.1504255,0,8,t
10,15,stimuli/T05_afa.wav,#0084E3,3,1.6656075,1,0,t
10,1,stimuli/T05_athetaa.wav,#007A9F,3,0.7183556,0,1,t
10,0,stimuli/T08_aka.wav,#C66841,4,1.1189752,1,2,t
10,3,stimuli/T05_ana.wav,#007A9F,3,0.9306015,1,3,t
10,17,stimuli/T05_afa.wav,#4D7096,3,0.8332861,1,4,t
10,5,stimuli/T05_afa.wav,#007A9F,3,0.834548,1,5,t
10,6,stimuli/T08_aka.wav,#C0BD7F,3,0.6652336,1,6,t
10,13,stimuli/T05_athetaa.wav,#4D7096,3,0.9997546,1,7,t
10,15,stimuli/T05_afa.wav,#0084E3,3,1.165231,1,8,t
22,0,stimuli/T05_ana.wav,#00975B,4,1.1168289,1,0,t
22,3,stimuli/T02_ana.wav,#009EAA,3,0.8491787,1,1,t
22,1,stimuli/T02_afa.wav,#009EAA,4,1.0344179,1,2,t
22,17,stimuli/T02_athetaa.wav,#00CDEE,3,0.6007608,1,3,t
22,12,stimuli/T05_ana.wav,#50E294,3,1.5657315,1,4,t
22,7,stimuli/T02_afa.wav,#003345,3,0.8833782,1,5,t
22,16,stimuli/T05_aza.wav,#50E294,3,1.0016819,1,6,t
22,10,stimuli/T05_azha.wav,#50E294,3,0.7841269,1,7,t
22,5,stimuli/T02_athetaa.wav,#009EAA,3,1.2682475,1,8,t
4,5,stimuli/T10_aba.wav,#008FAF,3,1.9164758,1,0,t
4,2,stimuli/T06_ama.wav,#D863A9,3,0.8845623,1,1,t
4,0,stimuli/T06_asha.wav,#D863A9,4,1.1843525,1,2,t
4,0,stimuli/T06_asha.wav,#D863A9,4,0.917984,1,3,t
4,10,stimuli/T06_ama.wav,#C57187,3,0.4969636,1,4,t
4,17,stimuli/T10_aba.wav,#00566C,3,0.9660365,1,5,t
4,7,stimuli/T10_ama.wav,#00A4DD,3,1.2397617,1,6,t
4,12,stimuli/T06_asha.wav,#C57187,3,0.8489857,1,7,t
4,11,stimuli/T10_athetaa.wav,#00566C,3,1.2019683,1,8,t
8,1,stimuli/T04_ava.wav,#007A55,3,1.7349125,0,0,t
8,3,stimuli/T04_ama.wav,#007A55,3,0.9197392,1,1,t
8,1,stimuli/T04_ava.wav,#007A55,3,1.5173462,0,2,t
8,4,stimuli/T06_asa.wav,#009E95,3,1.7513041,1,3,t
8,9,stimuli/T04_ama.wav,#005A5B,3,1.3157908,1,4,t
8,12,stimuli/T06_afa.wav,#32966C,4,1.0994265,0,5,t
8,8,stimuli/T06_ana.wav,#00FFFF,3,0.7500337,1,6,t
8,7,stimuli/T04_ava.wav,#005A5B,3,1.6486912,1,7,t
8,16,stimuli/T06_asa.wav,#32966C,3,1.1670192,1,8,t
1,6,stimuli/T05_ada.wav,#007355,4,1.0679183,0,0,t
1,9,stimuli/T03_aba.wav,#3A8E2E,3,0.7821541,1,1,t
1,0,stimuli/T05_ada.wav,#009D8E,3,0.7839419,0,2,t
1,17,stimuli/T03_aza.wav,#7C8400,3,1.033088,1,3,t
1,12,stimuli/T05_ada.wav,#28A09F,4,1.0842792,0,4,t
1,0,stimuli/T05_ada.wav,#009D8E,4,0.8180828,1,5,t
1,5,stimuli/T03_aza.wav,#516700,3,0.7851873,1,6,t
1,16,stimuli/T05_azha.wav,#28A09F,3,0.6341318,1,7,t
1,2,stimuli/T05_aba.wav,#009D8E,3,0.8329495,1,8,t
6,4,stimuli/T04_aetha.wav,#CA7242,4,1.2836536,0,0,t
6,17,stimuli/T10_afa.wav,#9E5800,3,0.8184945,1,1,t
6,1,stimuli/T10_aka.wav,#986112,4,0.9998635,1,2,t
6,12,stimuli/T04_ava.wav,#AD5800,3,1.0332742,1,3,t
6,0,stimuli/T04_ava.wav,#CA7242,4,1.1841267,1,4,t
6,9,stimuli/T10_aga.wav,#B63700,3,0.6327713,1,5,t
6,6,stimuli/T04_ava.wav,#BFA784,3,0.919063,1,6,t
6,3,stimuli/T10_aga.wav,#986112,4,1.1488839,0,7,t
6,14,stimuli/T04_aetha.wav,#BFA784,3,1.1986488,1,8,t
21,5,stimuli/T03_aka.wav,#009ED6,4,1.4833071,0,0,t
21,11,stimuli/T03_aga.wav,#00BDCC,3,0.7846451,1,2,t
21,6,stimuli/T12_asha.wav,#210000,3,0.8590849,1,3,t
21,8,stimuli/T12_ama.wav,#210000,3,0.7505147,1,4,t
21,13,stimuli/T03_ata.wav,#00BDCC,3,1.0335171,1,5,t
21,0,stimuli/T12_asha.wav,#9E481D,4,1.2002269,1,6,t
21,3,stimuli/T03_aga.wav,#009ED6,3,1.3825998,1,7,t
21,9,stimuli/T03_aga.wav,#426061,3,0.8162833,1,8,t
18,10,stimuli/T06_asa.wav,#E6A43A,3,0.4824871,1,0,t
18,8,stimuli/T06_asa.wav,#938533,3,0.5164756,1,1,t
18,2,stimuli/T06_asa.wav,#BA651E,3,0.7983975,1,2,t
18,13,stimuli/T05_azha.wav,#920229,3,0.7334284,1,3,t
18,7,stimuli/T05_azha.wav,#BF87B3,3,0.8329587,1,4,t
18,5,stimuli/T05_aga.wav,#A0444F,3,0.7506877,1,5,t
18,0,stimuli/T06_ava.wav,#BA651E,4,0.8306979,1,6,t
18,11,stimuli/T05_asa.wav,#920229,3,0.8334704,1,7,t
18,0,stimuli/T06_ava.wav,#BA651E,4,1.3999266,1,8,t
20,3,stimuli/T07_ana.wav,#0096B0,3,1.1311406,1,0,t
20,9,stimuli/T07_ana.wav,#00AAE1,3,1.0500903,1,1,t
20,1,stimuli/T07_asa.wav,#0096B0,4,1.0329762,1,2,t
20,7,stimuli/T07_asa.wav,#00AAE1,4,1.166993,0,3,t
20,12,stimuli/T09_ama.wav,#F177CA,3,0.9503,1,4,t
20,9,stimuli/T07_ana.wav,#00AAE1,3,1.183649,1,5,t
20,5,stimuli/T07_asha.wav,#0096B0,3,1.701148,1,6,t
20,11,stimuli/T07_ana.wav,#53CAE8,3,0.9355598,1,7,t
20,1,stimuli/T07_asa.wav,#0096B0,3,0.9166836,0,8,t
17,9,stimuli/T01_aetha.wav,#0087FC,4,0.8826029,0,0,t
17,9,stimuli/T01_aetha.wav,#0087FC,3,0.0359773,1,1,t
17,0,stimuli/T11_asa.wav,#C74650,4,1.2504606,1,2,t
17,3,stimuli/T01_aetha.wav,#0083C9,3,0.8003877,1,3,t
17,11,stimuli/T01_aetha.wav,#004F90,3,0.5977329,1,4,t
17,12,stimuli/T11_asa.wav,#BB004B,4,1.016393,0,5,t
17,6,stimuli/T11_asa.wav,#922655,3,0.5186237,1,6,t
17,4,stimuli/T11_asha.wav,#C74650,3,0.9176829,1,7,t
17,1,stimuli/T01_ata.wav,#0083C9,4,1.8015746,1,8,t
3,3,stimuli/T08_aga.wav,#229369,3,1.0320326,1,0,t
3,0,stimuli/T07_asha.wav,#9F578B,3,1.448769,0,1,t
3,0,stimuli/T07_asha.wav,#9F578B,4,1.0533491,1,2,t
3,14,stimuli/T07_ata.wav,#B10034,3,0.783928,1,3,t
3,7,stimuli/T08_ata.wav,#4D7217,3,0.7326112,1,4,t
3,4,stimuli/T07_ata.wav,#9F578B,4,1.8656924,0,5,t
3,14,stimuli/T07_ata.wav,#B10034,3,0.6850896,1,6,t
3,12,stimuli/T07_asha.wav,#653853,3,1.0510022,1,7,t
3,16,stimuli/T07_ata.wav,#653853,3,0.8839119,1,8,t
7,2,stimuli/T09_azha.wav,#007C99,3,0.7199923,1,0,t
7,16,stimuli/T09_afa.wav,#00958F,3,0.9991552,1,1,t
7,0,stimuli/T09_asa.wav,#007C99,4,1.1346013,1,2,t
7,9,stimuli/T10_aga.wav,#87C6C9,3,0.7332577,1,3,t
7,4,stimuli/T09_afa.wav,#007C99,3,1.1810113,1,4,t
7,7,stimuli/T10_ana.wav,#87C6C9,3,1.4346275,1,5,t
7,1,stimuli/T10_ana.wav,#00756F,4,1.4505576,1,6,t
7,12,stimuli/T09_asa.wav,#00958F,4,1.5498621,0,7,t
7,8,stimuli/T09_azha.wav,#004721,3,0.8835399,1,8,t
15,5,stimuli/T04_apa.wav,#886D0B,4,1.4170002,0,0,t
15,17,stimuli/T04_apa.wav,#B96C01,3,1.0508076,1,1,t
15,0,stimuli/T12_aetha.wav,#1B7217,4,1.1680931,1,2,t
